Filename:	C:\Documents and Settings\Bruker\Desktop\EPR Data\Watts\Henry\TEMPO\DLPC LUV 22-06-18\-4_DLPC_LUV.par	 Date: 06/22/2018   Time: 15:27

Slice 1
X [G]	Y []	Intensity
3250.000000	0.000000	262.682617
3250.097656	0.000000	236.682617
3250.195557	0.000000	258.682617
3250.293213	0.000000	220.682617
3250.391113	0.000000	370.682617
3250.488770	0.000000	463.682617
3250.586426	0.000000	292.682617
3250.684326	0.000000	197.682617
3250.781982	0.000000	-27.317383
3250.879883	0.000000	0.682617
3250.977539	0.000000	5.682617
3251.075195	0.000000	83.682617
3251.173096	0.000000	356.682617
3251.270752	0.000000	344.682617
3251.368408	0.000000	300.682617
3251.466309	0.000000	218.682617
3251.563965	0.000000	345.682617
3251.661865	0.000000	285.682617
3251.759521	0.000000	324.682617
3251.857178	0.000000	439.682617
3251.955078	0.000000	343.682617
3252.052734	0.000000	297.682617
3252.150635	0.000000	412.682617
3252.248291	0.000000	345.682617
3252.345947	0.000000	172.682617
3252.443848	0.000000	79.682617
3252.541504	0.000000	133.682617
3252.639404	0.000000	290.682617
3252.737061	0.000000	278.682617
3252.834717	0.000000	229.682617
3252.932617	0.000000	376.682617
3253.030273	0.000000	349.682617
3253.128174	0.000000	263.682617
3253.225830	0.000000	333.682617
3253.323486	0.000000	202.682617
3253.421387	0.000000	233.682617
3253.519043	0.000000	210.682617
3253.616699	0.000000	88.682617
3253.714600	0.000000	12.682617
3253.812256	0.000000	137.682617
3253.910156	0.000000	353.682617
3254.007813	0.000000	298.682617
3254.105469	0.000000	284.682617
3254.203369	0.000000	207.682617
3254.301025	0.000000	235.682617
3254.398926	0.000000	297.682617
3254.496582	0.000000	332.682617
3254.594238	0.000000	271.682617
3254.692139	0.000000	316.682617
3254.789795	0.000000	187.682617
3254.887695	0.000000	205.682617
3254.985352	0.000000	148.682617
3255.083008	0.000000	107.682617
3255.180908	0.000000	108.682617
3255.278564	0.000000	228.682617
3255.376465	0.000000	367.682617
3255.474121	0.000000	184.682617
3255.571777	0.000000	179.682617
3255.669678	0.000000	236.682617
3255.767334	0.000000	62.682617
3255.864990	0.000000	168.682617
3255.962891	0.000000	380.682617
3256.060547	0.000000	326.682617
3256.158447	0.000000	280.682617
3256.256104	0.000000	359.682617
3256.353760	0.000000	209.682617
3256.451660	0.000000	81.682617
3256.549316	0.000000	236.682617
3256.647217	0.000000	219.682617
3256.744873	0.000000	138.682617
3256.842529	0.000000	171.682617
3256.940430	0.000000	67.682617
3257.038086	0.000000	101.682617
3257.135986	0.000000	171.682617
3257.233643	0.000000	171.682617
3257.331299	0.000000	283.682617
3257.429199	0.000000	226.682617
3257.526855	0.000000	311.682617
3257.624512	0.000000	436.682617
3257.722412	0.000000	380.682617
3257.820068	0.000000	366.682617
3257.917969	0.000000	381.682617
3258.015625	0.000000	282.682617
3258.113281	0.000000	197.682617
3258.211182	0.000000	124.682617
3258.308838	0.000000	85.682617
3258.406738	0.000000	241.682617
3258.504395	0.000000	394.682617
3258.602051	0.000000	254.682617
3258.699951	0.000000	148.682617
3258.797607	0.000000	190.682617
3258.895508	0.000000	240.682617
3258.993164	0.000000	320.682617
3259.090820	0.000000	444.682617
3259.188721	0.000000	310.682617
3259.286377	0.000000	358.682617
3259.384277	0.000000	228.682617
3259.481934	0.000000	220.682617
3259.579590	0.000000	280.682617
3259.677490	0.000000	465.682617
3259.775146	0.000000	580.682617
3259.872803	0.000000	292.682617
3259.970703	0.000000	204.682617
3260.068359	0.000000	317.682617
3260.166260	0.000000	195.682617
3260.263916	0.000000	244.682617
3260.361572	0.000000	279.682617
3260.459473	0.000000	336.682617
3260.557129	0.000000	182.682617
3260.655029	0.000000	177.682617
3260.752686	0.000000	166.682617
3260.850342	0.000000	194.682617
3260.948242	0.000000	276.682617
3261.045898	0.000000	235.682617
3261.143799	0.000000	284.682617
3261.241455	0.000000	266.682617
3261.339111	0.000000	312.682617
3261.437012	0.000000	288.682617
3261.534668	0.000000	185.682617
3261.632568	0.000000	180.682617
3261.730225	0.000000	261.682617
3261.827881	0.000000	158.682617
3261.925781	0.000000	134.682617
3262.023438	0.000000	219.682617
3262.121094	0.000000	304.682617
3262.218994	0.000000	265.682617
3262.316650	0.000000	77.682617
3262.414551	0.000000	113.682617
3262.512207	0.000000	421.682617
3262.609863	0.000000	510.682617
3262.707764	0.000000	391.682617
3262.805420	0.000000	284.682617
3262.903320	0.000000	311.682617
3263.000977	0.000000	319.682617
3263.098633	0.000000	443.682617
3263.196533	0.000000	381.682617
3263.294189	0.000000	337.682617
3263.392090	0.000000	419.682617
3263.489746	0.000000	433.682617
3263.587402	0.000000	209.682617
3263.685303	0.000000	164.682617
3263.782959	0.000000	248.682617
3263.880859	0.000000	388.682617
3263.978516	0.000000	370.682617
3264.076172	0.000000	422.682617
3264.174072	0.000000	292.682617
3264.271729	0.000000	315.682617
3264.369385	0.000000	405.682617
3264.467285	0.000000	405.682617
3264.564941	0.000000	346.682617
3264.662842	0.000000	387.682617
3264.760498	0.000000	387.682617
3264.858154	0.000000	227.682617
3264.956055	0.000000	243.682617
3265.053711	0.000000	274.682617
3265.151611	0.000000	489.682617
3265.249268	0.000000	337.682617
3265.346924	0.000000	202.682617
3265.444824	0.000000	190.682617
3265.542480	0.000000	214.682617
3265.640381	0.000000	199.682617
3265.738037	0.000000	227.682617
3265.835693	0.000000	25.682617
3265.933594	0.000000	144.682617
3266.031250	0.000000	290.682617
3266.129150	0.000000	184.682617
3266.226807	0.000000	273.682617
3266.324463	0.000000	214.682617
3266.422363	0.000000	259.682617
3266.520020	0.000000	282.682617
3266.617676	0.000000	249.682617
3266.715576	0.000000	266.682617
3266.813232	0.000000	301.682617
3266.911133	0.000000	322.682617
3267.008789	0.000000	427.682617
3267.106445	0.000000	272.682617
3267.204346	0.000000	99.682617
3267.302002	0.000000	230.682617
3267.399902	0.000000	311.682617
3267.497559	0.000000	47.682617
3267.595215	0.000000	158.682617
3267.693115	0.000000	409.682617
3267.790771	0.000000	394.682617
3267.888672	0.000000	348.682617
3267.986328	0.000000	350.682617
3268.083984	0.000000	276.682617
3268.181885	0.000000	345.682617
3268.279541	0.000000	475.682617
3268.377441	0.000000	396.682617
3268.475098	0.000000	170.682617
3268.572754	0.000000	138.682617
3268.670654	0.000000	306.682617
3268.768311	0.000000	225.682617
3268.865967	0.000000	211.682617
3268.963867	0.000000	200.682617
3269.061523	0.000000	232.682617
3269.159424	0.000000	333.682617
3269.257080	0.000000	258.682617
3269.354736	0.000000	315.682617
3269.452637	0.000000	331.682617
3269.550293	0.000000	328.682617
3269.648193	0.000000	168.682617
3269.745850	0.000000	126.682617
3269.843506	0.000000	197.682617
3269.941406	0.000000	175.682617
3270.039063	0.000000	290.682617
3270.136963	0.000000	311.682617
3270.234619	0.000000	367.682617
3270.332275	0.000000	141.682617
3270.430176	0.000000	158.682617
3270.527832	0.000000	159.682617
3270.625732	0.000000	186.682617
3270.723389	0.000000	143.682617
3270.821045	0.000000	154.682617
3270.918945	0.000000	217.682617
3271.016602	0.000000	335.682617
3271.114258	0.000000	420.682617
3271.212158	0.000000	513.682617
3271.309814	0.000000	254.682617
3271.407715	0.000000	189.682617
3271.505371	0.000000	276.682617
3271.603027	0.000000	294.682617
3271.700928	0.000000	367.682617
3271.798584	0.000000	354.682617
3271.896484	0.000000	237.682617
3271.994141	0.000000	146.682617
3272.091797	0.000000	148.682617
3272.189697	0.000000	202.682617
3272.287354	0.000000	165.682617
3272.385254	0.000000	290.682617
3272.482910	0.000000	415.682617
3272.580566	0.000000	422.682617
3272.678467	0.000000	390.682617
3272.776123	0.000000	452.682617
3272.873779	0.000000	367.682617
3272.971680	0.000000	380.682617
3273.069336	0.000000	425.682617
3273.167236	0.000000	410.682617
3273.264893	0.000000	312.682617
3273.362549	0.000000	375.682617
3273.460449	0.000000	247.682617
3273.558105	0.000000	263.682617
3273.656006	0.000000	435.682617
3273.753662	0.000000	395.682617
3273.851318	0.000000	241.682617
3273.949219	0.000000	240.682617
3274.046875	0.000000	281.682617
3274.144775	0.000000	333.682617
3274.242432	0.000000	415.682617
3274.340088	0.000000	390.682617
3274.437988	0.000000	434.682617
3274.535645	0.000000	404.682617
3274.633545	0.000000	358.682617
3274.731201	0.000000	410.682617
3274.828857	0.000000	445.682617
3274.926758	0.000000	473.682617
3275.024414	0.000000	420.682617
3275.122070	0.000000	590.682617
3275.219971	0.000000	542.682617
3275.317627	0.000000	477.682617
3275.415527	0.000000	812.682617
3275.513184	0.000000	1009.682617
3275.610840	0.000000	966.682617
3275.708740	0.000000	845.682617
3275.806396	0.000000	911.682617
3275.904297	0.000000	1098.682617
3276.001953	0.000000	1007.682617
3276.099609	0.000000	1070.682617
3276.197510	0.000000	1277.682617
3276.295166	0.000000	1291.682617
3276.393066	0.000000	1283.682617
3276.490723	0.000000	1077.682617
3276.588379	0.000000	992.682617
3276.686279	0.000000	864.682617
3276.783936	0.000000	1108.682617
3276.881836	0.000000	1132.682617
3276.979492	0.000000	910.682617
3277.077148	0.000000	737.682617
3277.175049	0.000000	748.682617
3277.272705	0.000000	950.682617
3277.370361	0.000000	1076.682617
3277.468262	0.000000	1461.682617
3277.565918	0.000000	1804.682617
3277.663818	0.000000	2366.682617
3277.761475	0.000000	3132.682617
3277.859131	0.000000	4502.682617
3277.957031	0.000000	5997.682617
3278.054688	0.000000	7743.682617
3278.152588	0.000000	9952.682617
3278.250244	0.000000	12188.682617
3278.347900	0.000000	14752.682617
3278.445801	0.000000	17309.683594
3278.543457	0.000000	19591.683594
3278.641357	0.000000	21746.683594
3278.739014	0.000000	23369.683594
3278.836670	0.000000	24235.683594
3278.934570	0.000000	24447.683594
3279.032227	0.000000	23362.683594
3279.130127	0.000000	21252.683594
3279.227783	0.000000	18171.683594
3279.325439	0.000000	14108.682617
3279.423340	0.000000	9462.682617
3279.520996	0.000000	4082.682617
3279.618652	0.000000	-1427.317383
3279.716553	0.000000	-6573.317383
3279.814209	0.000000	-11256.317383
3279.912109	0.000000	-15339.317383
3280.009766	0.000000	-18388.316406
3280.107422	0.000000	-20426.316406
3280.205322	0.000000	-21351.316406
3280.302979	0.000000	-21226.316406
3280.400879	0.000000	-20637.316406
3280.498535	0.000000	-19170.316406
3280.596191	0.000000	-17359.316406
3280.694092	0.000000	-15289.317383
3280.791748	0.000000	-12850.317383
3280.889648	0.000000	-10722.317383
3280.987305	0.000000	-8795.317383
3281.084961	0.000000	-7037.317383
3281.182861	0.000000	-5530.317383
3281.280518	0.000000	-4443.317383
3281.378418	0.000000	-3413.317383
3281.476074	0.000000	-2727.317383
3281.573730	0.000000	-2150.317383
3281.671631	0.000000	-1777.317383
3281.769287	0.000000	-1697.317383
3281.866943	0.000000	-1451.317383
3281.964844	0.000000	-1335.317383
3282.062500	0.000000	-1349.317383
3282.160400	0.000000	-1470.317383
3282.258057	0.000000	-1239.317383
3282.355713	0.000000	-1268.317383
3282.453613	0.000000	-1447.317383
3282.551270	0.000000	-1414.317383
3282.649170	0.000000	-1448.317383
3282.746826	0.000000	-1400.317383
3282.844482	0.000000	-1363.317383
3282.942383	0.000000	-1337.317383
3283.040039	0.000000	-1392.317383
3283.137939	0.000000	-1205.317383
3283.235596	0.000000	-1039.317383
3283.333252	0.000000	-877.317383
3283.431152	0.000000	-839.317383
3283.528809	0.000000	-690.317383
3283.626709	0.000000	-675.317383
3283.724365	0.000000	-572.317383
3283.822021	0.000000	-409.317383
3283.919922	0.000000	-161.317383
3284.017578	0.000000	-86.317383
3284.115234	0.000000	130.682617
3284.213135	0.000000	61.682617
3284.310791	0.000000	-97.317383
3284.408691	0.000000	-109.317383
3284.506348	0.000000	-44.317383
3284.604004	0.000000	20.682617
3284.701904	0.000000	-77.317383
3284.799561	0.000000	-156.317383
3284.897461	0.000000	-213.317383
3284.995117	0.000000	-143.317383
3285.092773	0.000000	-186.317383
3285.190674	0.000000	-258.317383
3285.288330	0.000000	-158.317383
3285.386230	0.000000	-84.317383
3285.483887	0.000000	-140.317383
3285.581543	0.000000	-167.317383
3285.679443	0.000000	-151.317383
3285.777100	0.000000	-148.317383
3285.874756	0.000000	-156.317383
3285.972656	0.000000	-72.317383
3286.070313	0.000000	-98.317383
3286.168213	0.000000	109.682617
3286.265869	0.000000	111.682617
3286.363525	0.000000	76.682617
3286.461426	0.000000	79.682617
3286.559082	0.000000	151.682617
3286.656982	0.000000	148.682617
3286.754639	0.000000	-30.317383
3286.852295	0.000000	-112.317383
3286.950195	0.000000	-212.317383
3287.047852	0.000000	-242.317383
3287.145752	0.000000	-62.317383
3287.243408	0.000000	35.682617
3287.341064	0.000000	105.682617
3287.438965	0.000000	25.682617
3287.536621	0.000000	-66.317383
3287.634521	0.000000	17.682617
3287.732178	0.000000	13.682617
3287.829834	0.000000	323.682617
3287.927734	0.000000	191.682617
3288.025391	0.000000	77.682617
3288.123047	0.000000	64.682617
3288.220947	0.000000	98.682617
3288.318604	0.000000	91.682617
3288.416504	0.000000	172.682617
3288.514160	0.000000	137.682617
3288.611816	0.000000	299.682617
3288.709717	0.000000	234.682617
3288.807373	0.000000	238.682617
3288.905273	0.000000	257.682617
3289.002930	0.000000	204.682617
3289.100586	0.000000	187.682617
3289.198486	0.000000	129.682617
3289.296143	0.000000	81.682617
3289.394043	0.000000	166.682617
3289.491699	0.000000	45.682617
3289.589355	0.000000	80.682617
3289.687256	0.000000	180.682617
3289.784912	0.000000	277.682617
3289.882813	0.000000	215.682617
3289.980469	0.000000	160.682617
3290.078125	0.000000	40.682617
3290.176025	0.000000	-38.317383
3290.273682	0.000000	67.682617
3290.371338	0.000000	-0.317383
3290.469238	0.000000	-114.317383
3290.566895	0.000000	-98.317383
3290.664795	0.000000	-0.317383
3290.762451	0.000000	66.682617
3290.860107	0.000000	208.682617
3290.958008	0.000000	376.682617
3291.055664	0.000000	338.682617
3291.153564	0.000000	254.682617
3291.251221	0.000000	69.682617
3291.348877	0.000000	80.682617
3291.446777	0.000000	68.682617
3291.544434	0.000000	83.682617
3291.642334	0.000000	16.682617
3291.739990	0.000000	122.682617
3291.837646	0.000000	366.682617
3291.935547	0.000000	326.682617
3292.033203	0.000000	270.682617
3292.131104	0.000000	299.682617
3292.228760	0.000000	240.682617
3292.326416	0.000000	237.682617
3292.424316	0.000000	250.682617
3292.521973	0.000000	249.682617
3292.619629	0.000000	382.682617
3292.717529	0.000000	597.682617
3292.815186	0.000000	737.682617
3292.913086	0.000000	860.682617
3293.010742	0.000000	790.682617
3293.108398	0.000000	946.682617
3293.206299	0.000000	1177.682617
3293.303955	0.000000	1302.682617
3293.401855	0.000000	1356.682617
3293.499512	0.000000	1416.682617
3293.597168	0.000000	1195.682617
3293.695068	0.000000	1159.682617
3293.792725	0.000000	1178.682617
3293.890625	0.000000	1198.682617
3293.988281	0.000000	1130.682617
3294.085938	0.000000	1041.682617
3294.183838	0.000000	1153.682617
3294.281494	0.000000	1194.682617
3294.379395	0.000000	1166.682617
3294.477051	0.000000	1280.682617
3294.574707	0.000000	1511.682617
3294.672607	0.000000	1617.682617
3294.770264	0.000000	2093.682617
3294.867920	0.000000	2657.682617
3294.965820	0.000000	3187.682617
3295.063477	0.000000	4213.682617
3295.161377	0.000000	5491.682617
3295.259033	0.000000	6990.682617
3295.356689	0.000000	8721.682617
3295.454590	0.000000	10796.682617
3295.552246	0.000000	13090.682617
3295.650146	0.000000	15418.682617
3295.747803	0.000000	17797.683594
3295.845459	0.000000	20228.683594
3295.943359	0.000000	22214.683594
3296.041016	0.000000	23637.683594
3296.138916	0.000000	24230.683594
3296.236572	0.000000	23928.683594
3296.334229	0.000000	22430.683594
3296.432129	0.000000	19982.683594
3296.529785	0.000000	16515.683594
3296.627686	0.000000	12168.682617
3296.725342	0.000000	6895.682617
3296.822998	0.000000	1456.682617
3296.920898	0.000000	-4114.317383
3297.018555	0.000000	-9459.317383
3297.116211	0.000000	-14218.317383
3297.214111	0.000000	-18197.316406
3297.311768	0.000000	-21188.316406
3297.409668	0.000000	-23079.316406
3297.507324	0.000000	-23940.316406
3297.604980	0.000000	-23882.316406
3297.702881	0.000000	-22716.316406
3297.800537	0.000000	-21022.316406
3297.898438	0.000000	-19047.316406
3297.996094	0.000000	-16392.316406
3298.093750	0.000000	-13933.317383
3298.191650	0.000000	-11587.317383
3298.289307	0.000000	-9364.317383
3298.387207	0.000000	-7618.317383
3298.484863	0.000000	-6081.317383
3298.582520	0.000000	-4672.317383
3298.680420	0.000000	-3549.317383
3298.778076	0.000000	-2645.317383
3298.875977	0.000000	-2224.317383
3298.973633	0.000000	-1904.317383
3299.071289	0.000000	-1373.317383
3299.169189	0.000000	-1364.317383
3299.266846	0.000000	-1270.317383
3299.364502	0.000000	-1193.317383
3299.462402	0.000000	-1114.317383
3299.560059	0.000000	-1143.317383
3299.657959	0.000000	-1002.317383
3299.755615	0.000000	-1188.317383
3299.853271	0.000000	-1323.317383
3299.951172	0.000000	-1325.317383
3300.048828	0.000000	-1398.317383
3300.146729	0.000000	-1426.317383
3300.244385	0.000000	-1496.317383
3300.342041	0.000000	-1539.317383
3300.439941	0.000000	-1576.317383
3300.537598	0.000000	-1442.317383
3300.635498	0.000000	-1263.317383
3300.733154	0.000000	-1217.317383
3300.830811	0.000000	-1160.317383
3300.928711	0.000000	-1090.317383
3301.026367	0.000000	-749.317383
3301.124023	0.000000	-788.317383
3301.221924	0.000000	-629.317383
3301.319580	0.000000	-651.317383
3301.417480	0.000000	-580.317383
3301.515137	0.000000	-472.317383
3301.612793	0.000000	-462.317383
3301.710693	0.000000	-386.317383
3301.808350	0.000000	-720.317383
3301.906250	0.000000	-674.317383
3302.003906	0.000000	-587.317383
3302.101563	0.000000	-597.317383
3302.199463	0.000000	-537.317383
3302.297119	0.000000	-666.317383
3302.395020	0.000000	-467.317383
3302.492676	0.000000	-543.317383
3302.590332	0.000000	-507.317383
3302.688232	0.000000	-339.317383
3302.785889	0.000000	-344.317383
3302.883789	0.000000	-504.317383
3302.981445	0.000000	-658.317383
3303.079102	0.000000	-451.317383
3303.177002	0.000000	-397.317383
3303.274658	0.000000	-247.317383
3303.372314	0.000000	-436.317383
3303.470215	0.000000	-551.317383
3303.567871	0.000000	-232.317383
3303.665771	0.000000	-225.317383
3303.763428	0.000000	-332.317383
3303.861084	0.000000	-391.317383
3303.958984	0.000000	-383.317383
3304.056641	0.000000	-381.317383
3304.154541	0.000000	-267.317383
3304.252197	0.000000	-268.317383
3304.349854	0.000000	-338.317383
3304.447754	0.000000	-377.317383
3304.545410	0.000000	-476.317383
3304.643311	0.000000	-456.317383
3304.740967	0.000000	-536.317383
