User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 2395,,,,,,,,,,
Test name: Henry_350,Date: 02/09/2019,Time: 10:59:10,,,,,,,,,,
,,,,,,,,,,,,
ID1: test1,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,
,,,,,,,,,,,,
Raw Data (350),,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.591,1.087,1.453,2.017,2.301,2.682,2.901,3.114,3.597,3.854,4.268,5.81
B,0.569,0.921,1.368,1.793,2.154,2.535,2.874,3.277,3.508,3.675,4.228,5.633
C,0.579,1.023,1.371,1.751,2.283,2.512,2.873,3.186,3.446,3.8,4.213,5.666
D,0.586,0.971,1.351,1.771,2.172,2.506,2.881,3.211,3.321,3.645,4.184,5.388
E,0.598,0.982,1.458,1.742,2.224,2.537,2.875,3.135,3.277,3.543,4.196,5.718
F,0.67,0.985,1.46,1.817,2.154,2.905,2.884,3.141,3.313,3.646,4.066,5.797
G,0.629,1.047,1.371,1.841,2.183,2.958,2.885,3.14,3.407,3.762,4.156,5.639
H,0.605,0.861,1.297,1.742,2.118,2.528,2.835,3.184,3.514,3.77,4.062,5.864
