Type,3,4,5,5.5,5.8,6,6.2,6.4,6.5,6.6,6.8,7,7.2,7.4,7.5,7.6,7.8,8,8.5,9,10
SMA 3:1,2.533,2.49,2.359,2.355,2.166,2.556,2.232,2.238,2.729,2.277,2.201,2.53,2.296,2.384,2.388,2.422,2.603,2.466,2.673,2.671,2.715
SMA 3:1,2.549,2.388,2.478,2.604,2.258,2.771,2.165,2.326,2.539,2.24,2.347,2.656,2.168,2.357,2.722,2.271,2.24,2.587,2.774,2.867,2.624
SMA 3:1,2.473,2.497,2.604,2.46,2.316,2.666,2.171,2.303,2.783,2.389,2.198,2.723,2.423,2.373,2.68,2.417,2.164,2.541,2.738,2.691,2.88
SMA 2:1,3.006,2.671,2.336,2.417,2.239,2.81,2.618,3.005,2.876,2.653,2.773,2.86,2.267,2.587,2.665,2.481,2.188,2.931,2.914,3.377,2.874
SMA 2:1,2.776,2.789,2.67,2.432,2.762,3.335,3.231,3.208,2.649,3.021,3.315,3.035,2.454,2.462,2.603,2.389,2.24,2.612,3.188,2.75,2.868
SMA 2:1,2.86,2.994,2.348,2.438,2.735,2.765,2.423,3.239,2.789,2.57,2.76,2.622,2.454,2.383,2.614,2.276,2.175,2.683,3.197,2.864,2.786
DIBMA,2.44,2.403,2.12,2.069,2.139,2.44,2.225,2.406,2.358,2.514,2.276,2.926,2.334,2.159,2.325,2.394,2.143,1.985,2.646,2.588,2.33
DIBMA,2.496,2.38,2.087,2.32,2.346,2.377,2.319,2.379,2.498,2.308,2.23,2.388,2.269,2.291,2.292,2.306,2.147,2.917,2.819,2.582,2.401
DIBMA,2.314,2.503,2.405,2.405,2.998,2.571,2.969,2.883,2.572,3.253,3.129,2.627,2.736,2.789,2.501,2.55,2.844,2.557,2.593,2.814,2.64
PMA,2.188,2.308,2.191,2.027,2.188,2.192,2.191,2.027,2.023,2.192,2.023,2.481,2.231,2.267,2.231,2.694,2.881,2.267,2.694,2.881,2.455
PMA,2.681,2.732,2.225,2.098,2.681,2.393,2.225,2.098,2.105,2.393,2.105,2.699,2.375,2.228,2.375,2.98,3.077,2.228,2.98,3.077,2.516
PMA,2.578,2.689,2.576,2.326,2.578,2.172,2.576,2.326,2.319,2.172,2.319,2.59,2.259,2.151,2.259,2.824,2.882,2.151,2.824,2.882,2.743
