Type,3,4,5,5.5,5.8,6,6.2,6.4,6.5,6.6,6.8,7,7.2,7.4,7.5,7.6,7.8,8,8.5,9,10
SMA 3:1,2.179,2.312,2.548,2.529,2.056,2.014,2.018,1.739,2.531,2.134,1.766,1.834,1.773,1.702,1.869,2.298,2.606,2.038,2.373,2.982,2.127
SMA 3:1,2.099,2.602,2.46,2.464,2.17,2.791,2.297,2.406,2.518,2.052,2.394,2.63,2.588,2.356,2.421,2.082,2.393,2.342,3.011,3.056,1.391
SMA 3:1,2.498,2.324,2.493,2.917,2.402,2.488,2.152,2.552,2.395,2.628,2.463,2.514,2.676,2.872,2.845,2.509,2.798,2.638,2.422,3.061,2.457
SMA 2:1,2.687,2.725,2.474,2.934,2.698,2.865,2.366,2.566,2.716,3.026,2.569,2.545,2.773,2.932,2.833,2.658,2.597,2.779,2.789,2.624,2.502
SMA 2:1,2.615,2.516,2.994,2.992,2.877,2.669,2.909,2.498,2.56,2.557,2.424,2.825,2.671,2.854,2.59,2.624,2.486,2.936,2.76,3.067,3
SMA 2:1,3.004,2.763,2.835,3.042,2.384,3.032,2.9,2.615,2.695,2.72,2.67,2.774,2.749,2.851,2.703,2.75,2.773,2.898,2.965,3.101,2.691
DIBMA,2.24,2.219,2.367,1.965,2.044,1.739,1.706,2.087,2.027,2.411,2.188,1.895,2.096,1.887,1.925,1.607,1.795,1.765,2.311,2.565,1.411
DIBMA,2.687,2.516,2.661,2.632,2.036,2.586,1.9895,2.0235,2.433,2.1235,2.329,2.616,2.065,2.1025,2.602,2.1275,2.441,2.603,2.837,3.117,1.298
DIBMA,2.107,2.105,2.401,2.655,1.674,2.533,2.167,2.296,2.074,2,2.263,2.678,2.545,2.534,2.506,2.545,2.143,1.889,3.238,3.194,1.831
PMA,2.566,2.029,2.401,2.174,2.867,1.903,2.748,2.741,2.356,3.163,3.063,2.058,3.15,2.842,2.373,3.298,2.756,2.618,3.405,3.162,2.754
PMA,2.917,2.611,2.619,2.687,2.177,3.118,2.888,2.962,2.891,3.027,2.802,2.873,3.156,3.152,2.637,3.129,3.452,2.773,3.271,3.305,3.659
PMA,2.978,2.424,2.463,2.98,2.612,3.204,2.61,2.618,2.854,2.63,2.681,2.988,2.625,2.643,3.299,2.622,2.64,2.728,3.07,3.17,2.924
