User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 2287,,,,,,,,,,
Test name: Henry_350,Date: 02/07/2019,Time: 15:22:02,,,,,,,,,,
,,,,,,,,,,,,
ID1: test1,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,
,,,,,,,,,,,,
Raw Data (350),,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,3.013,2.988,2.679,2.862,2.907,3.066,3.167,3.048,2.626,2.721,2.518,3.419
B,2.89,2.946,3.12,2.989,3.174,2.843,2.818,2.897,2.611,2.914,2.913,3.602
C,2.861,3.021,2.912,2.886,2.796,3.055,2.927,2.691,2.713,2.696,2.234,2.393
D,2.978,3.043,3.082,2.937,3.092,2.899,2.886,2.892,2.788,2.651,2.802,3.49
E,0.65,0.645,0.622,0.68,0.617,0.652,0.666,0.648,0.665,0.673,0.653,0.683
F,3.502,3.385,3.154,3.257,3.33,3.005,2.914,2.946,2.881,2.804,2.705,2.745
G,3.515,3.465,3.354,3.163,3.222,3.061,3.017,2.953,3.009,2.694,2.367,1.705
H,3.414,3.094,3.244,3.141,3.127,3.133,3.136,2.71,2.823,2.818,2.801,2.177
