User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 2288,,,,,,,,,,
Test name: Henry_350,Date: 02/07/2019,Time: 15:23:58,,,,,,,,,,
,,,,,,,,,,,,
ID1: test1,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,
,,,,,,,,,,,,
Raw Data (350),,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,3.419,3.075,3.155,2.836,2.92,2.624,2.966,2.91,2.693,1.331,1.985,4.662
B,3.489,3.249,3.051,2.93,2.987,3.072,3.05,2.823,2.613,2.374,2.474,4.846
C,2.905,2.878,3.137,3.074,3.139,3.144,2.829,2.947,2.617,2.391,2.57,2.851
D,3.294,3.286,3.149,3.319,3.01,3.229,3.053,2.926,2.533,2.337,2.706,2.055
E,0.66,0.606,0.59,0.587,0.578,0.602,0.607,0.642,0.606,0.598,0.616,0.61
F,0.598,0.61,0.619,0.591,0.613,0.613,0.617,0.613,0.593,0.607,0.64,0.702
G,0.618,0.601,0.566,0.588,0.586,0.616,0.595,0.62,0.6,0.593,0.614,0.61
H,0.591,0.613,0.62,0.602,0.59,0.641,0.591,0.604,0.648,0.62,0.613,0.627
