User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 2355,,,,,,,,,,
Test name: Henry_350,Date: 16/07/2019,Time: 15:00:25,,,,,,,,,,
,,,,,,,,,,,,
ID1: test1,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,
,,,,,,,,,,,,
Raw Data (350),,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1.58,0.68,0.714,0.72,0.726,0.697,0.735,0.729,0.74,0.719,0.719,0.726
B,1.718,0.728,0.702,0.698,0.658,0.664,0.693,0.674,0.708,0.711,0.721,0.741
C,2.776,0.666,0.643,0.652,0.646,0.651,0.7,0.716,0.698,0.729,0.72,0.764
D,0.681,0.654,0.665,0.656,0.622,0.643,0.644,0.636,0.661,0.647,0.689,0.662
E,1.32,1.739,2.134,2.296,2.45,2.505,2.582,2.414,2.418,2.188,2.249,2.739
F,1.328,1.767,2.134,2.277,2.579,2.406,2.503,2.536,2.425,2.315,2.206,2.598
G,1.259,1.717,2.126,2.4,2.541,2.534,2.635,2.439,2.359,2.37,2.283,2.752
H,0.651,0.639,0.641,0.63,0.64,0.634,0.662,0.653,0.676,0.678,0.643,0.667
