     index            Field [G]         Intensity []

         1                 3270   -0.360963117380399
         2               3270.1   -0.361344238767412
         3               3270.2   -0.361842041871027
         4               3270.3   -0.362524450439987
         5               3270.4   -0.363429195041319
         6               3270.5   -0.364491259354411
         7               3270.6   -0.365526186470969
         8               3270.7   -0.366319202484284
         9               3270.8   -0.366747290845715
        10               3270.9   -0.366826792716318
        11                 3271    -0.36668042378155
        12               3271.1   -0.366485957690688
        13               3271.2   -0.366434627564456
        14               3271.3   -0.366693073770163
        15               3271.4    -0.36737435549348
        16               3271.5    -0.36851334498474
        17               3271.6   -0.370011208337219
        18               3271.7   -0.371557533233329
        19               3271.8   -0.372637752336568
        20               3271.9      -0.372723479949
        21                 3272   -0.371571638674375
        22               3272.1   -0.369407588633581
        23               3272.2   -0.366827895683812
        24               3272.3   -0.364486004544849
        25               3272.4     -0.3627992100568
        26               3272.5   -0.361874528884772
        27               3272.6   -0.361639032944742
        28               3272.7   -0.361990041299681
        29               3272.8   -0.362819002633529
        30               3272.9   -0.363941705184957
        31                 3273   -0.365072550179267
        32               3273.1   -0.365916179833947
        33               3273.2   -0.366317903086741
        34               3273.3   -0.366352409846793
        35               3273.4   -0.366274504566134
        36               3273.5   -0.366358194998649
        37               3273.6      -0.366737668057
        38               3273.7   -0.367366146533127
        39               3273.8    -0.36810916759521
        40               3273.9   -0.368871459181877
        41                 3274   -0.369644278788762
        42               3274.1   -0.370459356319556
        43               3274.2   -0.371316906702153
        44               3274.3   -0.372140639354763
        45               3274.4   -0.372776032549735
        46               3274.5   -0.373052729939463
        47               3274.6    -0.37290852463762
        48               3274.7   -0.372478743012291
        49               3274.8   -0.372021085380999
        50               3274.9    -0.37169135274972
        51                 3275   -0.371375841848596
        52               3275.1   -0.370766932043209
        53               3275.2   -0.369625189492134
        54               3275.3   -0.367983411867019
        55               3275.4   -0.366133108758467
        56               3275.5   -0.364468243824172
        57               3275.6   -0.363351933228038
        58               3275.7   -0.363047830420217
        59               3275.8   -0.363644182210407
        60               3275.9   -0.364967817737902
        61                 3276   -0.366600874467194
        62               3276.1   -0.368058996448362
        63               3276.2     -0.3690179287978
        64               3276.3   -0.369420129637191
        65               3276.4   -0.369420793926175
        66               3276.5    -0.36927261514233
        67               3276.6   -0.369245343410624
        68               3276.7   -0.369572097968005
        69               3276.8    -0.37036654083901
        70               3276.9    -0.37153157106162
        71                 3277   -0.372767824347951
        72               3277.1   -0.373734189613578
        73               3277.2   -0.374247906697253
        74               3277.3   -0.374354281661086
        75               3277.4   -0.374238901549512
        76               3277.5   -0.374108385221719
        77               3277.6   -0.374131277859717
        78               3277.7   -0.374404245514649
        79               3277.8   -0.374905960155059
        80               3277.9    -0.37549575707181
        81                 3278   -0.376002971312068
        82               3278.1   -0.376325651903805
        83               3278.2   -0.376427014798992
        84               3278.3   -0.376258886994869
        85               3278.4   -0.375749941520625
        86               3278.5   -0.374905058016882
        87               3278.6   -0.373895168896883
        88               3278.7   -0.373001746132984
        89               3278.8   -0.372434444344272
        90               3278.9   -0.372182023957544
