     index            Field [G]         Intensity []

         1                 3270   -0.381000533876542
         2               3270.1   -0.381935708400392
         3               3270.2    -0.38283863941046
         4               3270.3   -0.383543601630171
         5               3270.4   -0.383866970415723
         6               3270.5   -0.383691023357537
         7               3270.6   -0.383036631741205
         8               3270.7   -0.382059990541497
         9               3270.8   -0.380972961933961
        10               3270.9   -0.379951365579486
        11                 3271   -0.379098959913199
        12               3271.1   -0.378484184838096
        13               3271.2    -0.37819494086595
        14               3271.3   -0.378335678173313
        15               3271.4   -0.378963078592874
        16               3271.5   -0.380034104455935
        17               3271.6   -0.381414132163813
        18               3271.7   -0.382913761297072
        19               3271.8   -0.384320119592397
        20               3271.9   -0.385442792420168
        21                 3272   -0.386179541179743
        22               3272.1   -0.386538840942022
        23               3272.2   -0.386577915418072
        24               3272.3   -0.386324006424147
        25               3272.4   -0.385774832509209
        26               3272.5   -0.384970737549968
        27               3272.6   -0.384044428243385
        28               3272.7   -0.383189740640819
        29               3272.8   -0.382577941043168
        30               3272.9   -0.382288106508727
        31                 3273   -0.382297750845555
        32               3273.1   -0.382532273111772
        33               3273.2   -0.382923828942198
        34               3273.3   -0.383426397996656
        35               3273.4   -0.383995716153249
        36               3273.5   -0.384594986033942
        37               3273.6   -0.385237350321245
        38               3273.7   -0.385985852958881
        39               3273.8   -0.386863724226551
        40               3273.9    -0.38777068245657
        41                 3274   -0.388531712073221
        42               3274.1   -0.389037677219354
        43               3274.2   -0.389305182268799
        44               3274.3   -0.389393363286254
        45               3274.4   -0.389309902674229
        46               3274.5   -0.389032326164894
        47               3274.6   -0.388588581320412
        48               3274.7    -0.38806099189807
        49               3274.8   -0.387502880338315
        50               3274.9   -0.386890265032739
        51                 3275   -0.386189278063365
        52               3275.1   -0.385473955558026
        53               3275.2    -0.38496090248551
        54               3275.3   -0.384896191953916
        55               3275.4   -0.385361237919189
        56               3275.5   -0.386156356899291
        57               3275.6    -0.38688829013858
        58               3275.7   -0.387220263613629
        59               3275.8   -0.387081516570274
        60               3275.9   -0.386663835160691
        61                 3276   -0.386239468773941
        62               3276.1   -0.385986365413577
        63               3276.2   -0.385947907072589
        64               3276.3   -0.386091716020818
        65               3276.4   -0.386361672087808
        66               3276.5   -0.386675795540833
        67               3276.6   -0.386901501242105
        68               3276.7   -0.386864684908781
        69               3276.8   -0.386426012805436
        70               3276.9   -0.385595998995431
        71                 3277   -0.384589637119927
        72               3277.1   -0.383735089268295
        73               3277.2   -0.383282189715766
        74               3277.3   -0.383265208011799
        75               3277.4   -0.383517641328816
        76               3277.5   -0.383790866133081
        77               3277.6   -0.383878406367944
        78               3277.7    -0.38371119858935
        79               3277.8    -0.38341969416599
        80               3277.9   -0.383306387095886
        81                 3278    -0.38367231104771
        82               3278.1   -0.384577498472237
        83               3278.2   -0.385737885706498
        84               3278.3   -0.386673130783504
        85               3278.4   -0.386985481484049
        86               3278.5   -0.386541508877114
        87               3278.6   -0.385463030169881
        88               3278.7   -0.384024432558261
        89               3278.8   -0.382577514912476
        90               3278.9   -0.381501888617056
        91                 3279   -0.381105695325823
        92               3279.1   -0.381480480170168
        93               3279.2   -0.382430530177177
        94               3279.3   -0.383572223130326
        95               3279.4   -0.384536600656006
        96               3279.5   -0.385111171924056
        97               3279.6    -0.38524882159142
        98               3279.7   -0.385013797003042
        99               3279.8   -0.384540075441311
       100               3279.9   -0.383989112930859
       101                 3280    -0.38347882643046
       102               3280.1   -0.383025795508007
       103               3280.2   -0.382568310600819
       104               3280.3   -0.382066731195749
       105               3280.4   -0.381591407931121
       106               3280.5   -0.381303398088828
