     index            Field [G]         Intensity []

         1                 3270   -0.374473983245917
         2               3270.1   -0.374003190586935
         3               3270.2    -0.37334124134349
         4               3270.3   -0.372561284825753
         5               3270.4   -0.371825970187496
         6               3270.5   -0.371333689611814
         7               3270.6    -0.37120191140148
         8               3270.7     -0.3713926746457
         9               3270.8   -0.371771979726618
        10               3270.9    -0.37224222405646
        11                 3271   -0.372795534302864
        12               3271.1   -0.373439100018678
        13               3271.2    -0.37410763155248
        14               3271.3   -0.374681523098206
        15               3271.4   -0.375077603072194
        16               3271.5   -0.375295331696155
        17               3271.6   -0.375381655085793
        18               3271.7   -0.375373760429279
        19               3271.8   -0.375268809908617
        20               3271.9   -0.375023412272843
        21                 3272   -0.374588181235549
        22               3272.1   -0.373984948363786
        23               3272.2   -0.373375158405194
        24               3272.3   -0.373020447989164
        25               3272.4   -0.373112527060853
        26               3272.5   -0.373602695942834
        27               3272.6   -0.374202971349552
        28               3272.7    -0.37457976301136
        29               3272.8    -0.37457486813398
        30               3272.9   -0.374270643192803
        31                 3273   -0.373871219006974
        32               3273.1   -0.373529029107708
        33               3273.2   -0.373264331665318
        34               3273.3   -0.373013396920314
        35               3273.4   -0.372721272625845
        36               3273.5    -0.37238158107874
        37               3273.6    -0.37201114800445
        38               3273.7   -0.371618665084905
        39               3273.8   -0.371210701421757
        40               3273.9   -0.370820624734958
        41                 3274   -0.370522825813893
        42               3274.1   -0.370417068588482
        43               3274.2   -0.370600081038322
        44               3274.3   -0.371149058281217
        45               3274.4   -0.372111454209808
        46               3274.5   -0.373464769914539
        47               3274.6   -0.375044244170275
        48               3274.7   -0.376518739487082
        49               3274.8   -0.377505875956811
        50               3274.9   -0.377793656171545
        51                 3275   -0.377493200335911
        52               3275.1   -0.376966958319873
        53               3275.2   -0.376578862870236
        54               3275.3   -0.376491135836395
        55               3275.4   -0.376674253670665
        56               3275.5   -0.377062582231745
        57               3275.6   -0.377657800198672
        58               3275.7   -0.378489361489621
        59               3275.8   -0.379518691032083
        60               3275.9   -0.380613621229794
        61                 3276   -0.381621156955845
        62               3276.1   -0.382463230381886
        63               3276.2   -0.383164495947603
        64               3276.3   -0.383793509997729
        65               3276.4   -0.384383148818003
        66               3276.5   -0.384901315164549
        67               3276.6   -0.385271580750085
        68               3276.7   -0.385399265477584
        69               3276.8   -0.385191619900672
