     index            Field [G]         Intensity []

         1                 3270   -0.379578533823919
         2               3270.1   -0.379217329584909
         3               3270.2   -0.378854213774687
         4               3270.3   -0.378473362037995
         5               3270.4   -0.378016845141417
         6               3270.5   -0.377416105278665
         7               3270.6    -0.37666604821524
         8               3270.7   -0.375861641485139
         9               3270.8   -0.375137580291574
        10               3270.9   -0.374570360690266
        11                 3271   -0.374143296718652
        12               3271.1    -0.37379446852079
        13               3271.2    -0.37349597844109
        14               3271.3   -0.373308233631811
        15               3271.4   -0.373365938497059
        16               3271.5    -0.37378473549241
        17               3271.6   -0.374555683109802
        18               3271.7    -0.37553457455116
        19               3271.8    -0.37654080409916
        20               3271.9   -0.377451358383546
        21                 3272   -0.378191450476721
        22               3272.1   -0.378670059328102
        23               3272.2   -0.378776902045618
        24               3272.3   -0.378453010360411
        25               3272.4   -0.377735265513772
        26               3272.5   -0.376723694600779
        27               3272.6   -0.375538645403045
        28               3272.7   -0.374329912976674
        29               3272.8   -0.373291032033677
        30               3272.9   -0.372606188171078
        31                 3273   -0.372357984351912
        32               3273.1   -0.372495968756297
        33               3273.2   -0.372904260926809
        34               3273.3   -0.373495817783076
        35               3273.4   -0.374237527756345
        36               3273.5   -0.375094893722831
        37               3273.6   -0.375974625086343
        38               3273.7   -0.376737932870181
        39               3273.8   -0.377273115764279
        40               3273.9   -0.377556329153763
        41                 3274   -0.377652845023827
        42               3274.1    -0.37767423246737
        43               3274.2   -0.377733939071679
        44               3274.3   -0.377914881764624
        45               3274.4   -0.378232843116894
        46               3274.5   -0.378607229484594
        47               3274.6   -0.378896115120584
        48               3274.7   -0.379009609697618
        49               3274.8   -0.378998681765759
        50               3274.9   -0.379001222581948
        51                 3275   -0.379091928849524
        52               3275.1   -0.379226397915335
        53               3275.2    -0.37936178504942
        54               3275.3   -0.379582223215261
        55               3275.4   -0.380010411258334
        56               3275.5   -0.380563583921509
        57               3275.6   -0.380875561278833
        58               3275.7    -0.38057318340903
        59               3275.8   -0.379670828442159
        60               3275.9   -0.378650118628222
        61                 3276   -0.378100362883158
        62               3276.1   -0.378262582649741
        63               3276.2   -0.378904335749683
        64               3276.3   -0.379586061832774
        65               3276.4   -0.380006244865376
        66               3276.5   -0.380117529407673
        67               3276.6   -0.380005345841363
        68               3276.7   -0.379742448540211
        69               3276.8   -0.379369480349804
        70               3276.9   -0.378949724205855
        71                 3277   -0.378573241866283
        72               3277.1   -0.378296429428018
        73               3277.2   -0.378110353671197
        74               3277.3   -0.377984734306955
        75               3277.4   -0.377917962527489
        76               3277.5   -0.377914345523967
        77               3277.6   -0.377920511173894
        78               3277.7   -0.377825154681019
        79               3277.8   -0.377558421038572
        80               3277.9   -0.377200124525464
        81                 3278   -0.376969394199421
        82               3278.1   -0.377071472255885
        83               3278.2   -0.377523981627115
        84               3278.3    -0.37812690227256
        85               3278.4   -0.378623058089438
        86               3278.5   -0.378919379957571
        87               3278.6   -0.379169179646734
        88               3278.7   -0.379628972535127
        89               3278.8   -0.380407630268622
        90               3278.9   -0.381328968723235
        91                 3279   -0.382026531683616
        92               3279.1   -0.382184847564056
        93               3279.2   -0.381735464332977
        94               3279.3   -0.380883201696007
        95               3279.4   -0.379976257959843
        96               3279.5   -0.379320769130245
        97               3279.6   -0.379050177810012
        98               3279.7   -0.379114475642136
        99               3279.8   -0.379370297548208
       100               3279.9   -0.379683604061896
       101                 3280   -0.379976703300706
       102               3280.1   -0.380230018321104
       103               3280.2   -0.380469406457548
       104               3280.3   -0.380728569954595
       105               3280.4    -0.38099002969624
       106               3280.5   -0.381173649005279
       107               3280.6   -0.381214862685198
       108               3280.7   -0.381150587300686
       109               3280.8   -0.381094579103701
       110               3280.9   -0.381113625238401
       111                 3281   -0.381148640431461
       112               3281.1   -0.381084809704472
       113               3281.2   -0.380896575145494
       114               3281.3   -0.380684655831682
       115               3281.4   -0.380538592062494
       116               3281.5   -0.380386973128366
       117               3281.6   -0.380042629703765
       118               3281.7   -0.379421505538165
       119               3281.8   -0.378691734114152
       120               3281.9    -0.37817472764612
       121                 3282   -0.378081089733744
       122               3282.1   -0.378318703731297
       123               3282.2   -0.378533303959149
       124               3282.3   -0.378348266916814
       125               3282.4   -0.377621459518499
       126               3282.5   -0.376530084113292
       127               3282.6   -0.375438723349279
       128               3282.7   -0.374683848532111
       129               3282.8   -0.374448348484914
       130               3282.9   -0.374773325004427
       131                 3283   -0.375620309949509
       132               3283.1   -0.376896840456407
       133               3283.2   -0.378451001195947
       134               3283.3   -0.380089927063055
       135               3283.4   -0.381634713966785
       136               3283.5    -0.38296510547033
       137               3283.6   -0.384013495856047
       138               3283.7   -0.384726557898148
       139               3283.8   -0.385046164273483
       140               3283.9     -0.3849305054071
       141                 3284   -0.384388439141534
       142               3284.1   -0.383497838722168
       143               3284.2   -0.382408339767395
       144               3284.3   -0.381329908916376
       145               3284.4   -0.380487519496995
       146               3284.5   -0.380044274060638
       147               3284.6   -0.380045809072435
       148               3284.7   -0.380421730676574
       149               3284.8   -0.381004413965493
       150               3284.9   -0.381530864879419
       151                 3285   -0.381694494681091
       152               3285.1   -0.381314591920034
       153               3285.2   -0.380512062345452
       154               3285.3    -0.37967191451939
       155               3285.4   -0.379161267523059
       156               3285.5   -0.379051554703023
       157               3285.6   -0.379093644317432
       158               3285.7   -0.378926026868119
       159               3285.8   -0.378307511780479
       160               3285.9    -0.37722660729541
       161                 3286    -0.37588931635529
       162               3286.1   -0.374649809455931
       163               3286.2   -0.373920920531959
       164               3286.3   -0.374053627629338
       165               3286.4   -0.375171751063214
       166               3286.5   -0.377027541764408
       167               3286.6   -0.379026652064363
       168               3286.7   -0.380492885439764
       169               3286.8    -0.38101385818204
       170               3286.9   -0.380597873508915
       171                 3287   -0.379554948116217
       172               3287.1   -0.378277169991783
       173               3287.2   -0.377114412037748
       174               3287.3   -0.376347333922885
       175               3287.4   -0.376150778719639
       176               3287.5    -0.37653575659827
       177               3287.6   -0.377361278786421
       178               3287.7   -0.378439835765722
       179               3287.8   -0.379625104505304
       180               3287.9   -0.380784002556835
       181                 3288   -0.381716889168791
       182               3288.1   -0.382170972044855
       183               3288.2   -0.381968929845936
       184               3288.3   -0.381117451194984
       185               3288.4    -0.37978725316913
       186               3288.5    -0.37821794330972
       187               3288.6   -0.376665254298925
       188               3288.7   -0.375401008083283
       189               3288.8   -0.374672226673878
       190               3288.9   -0.374581254178816
       191                 3289   -0.374984756000117
       192               3289.1   -0.375534355375583
       193               3289.2   -0.375853229458118
       194               3289.3    -0.37571599475275
       195               3289.4     -0.3751174420384
       196               3289.5   -0.374234930457929
       197               3289.6   -0.373356123631254
       198               3289.7   -0.372803187070413
       199               3289.8   -0.372829874343151
       200               3289.9   -0.373494004336051
       201                 3290   -0.374586371877261
       202               3290.1   -0.375713802073341
       203               3290.2    -0.37652443746045
       204               3290.3   -0.376912238256959
       205               3290.4   -0.377021929618123
       206               3290.5   -0.377055865244206
       207               3290.6   -0.377083240862192
       208               3290.7   -0.377038108900026
       209               3290.8   -0.376875976561503
       210               3290.9   -0.376692448000743
       211                 3291   -0.376673810330635
       212               3291.1   -0.376948295886765
       213               3291.2   -0.377501148754103
       214               3291.3   -0.378221939278443
       215               3291.4   -0.379007220309282
       216               3291.5   -0.379807581377381
       217               3291.6   -0.380589043441605
