     index            Field [G]         Intensity []

         1                 3270   -0.382527084057226
         2               3270.1   -0.382511360003943
         3               3270.2   -0.382532177971489
         4               3270.3   -0.382617773197588
         5               3270.4     -0.3828238131642
         6               3270.5    -0.38322729162207
         7               3270.6    -0.38389056248253
         8               3270.7   -0.384810250296496
         9               3270.8   -0.385884314720263
        10               3270.9   -0.386920239067507
        11                 3271   -0.387688164905284
        12               3271.1   -0.388004933605941
        13               3271.2   -0.387816172899358
        14               3271.3    -0.38723483819845
        15               3271.4   -0.386504691682263
        16               3271.5   -0.385890894367706
        17               3271.6   -0.385555243523012
        18               3271.7   -0.385499619206408
        19               3271.8   -0.385599139664616
        20               3271.9   -0.385660133842589
        21                 3272   -0.385459217463337
        22               3272.1   -0.384812099911024
        23               3272.2   -0.383701987890942
        24               3272.3   -0.382362086348146
        25               3272.4   -0.381179470085756
        26               3272.5   -0.380460994681429
        27               3272.6   -0.380260553906841
        28               3272.7   -0.380399358467217
        29               3272.8   -0.380612443500045
        30               3272.9   -0.380676878488362
        31                 3273   -0.380476652034322
        32               3273.1   -0.380048910639529
        33               3273.2   -0.379604100967627
        34               3273.3   -0.379440889330049
        35               3273.4   -0.379758055625092
        36               3273.5   -0.380520958630488
        37               3273.6   -0.381528235242646
        38               3273.7   -0.382614165156279
        39               3273.8   -0.383771025299096
        40               3273.9   -0.385073631492681
        41                 3274   -0.386502459585159
        42               3274.1   -0.387844766465127
        43               3274.2   -0.388759789185296
        44               3274.3   -0.388961391688784
        45               3274.4   -0.388401351046766
        46               3274.5   -0.387339741424458
        47               3274.6   -0.386255370154123
        48               3274.7   -0.385643829066881
        49               3274.8   -0.385804849452359
        50               3274.9   -0.386710767173516
        51                 3275   -0.388015317053155
        52               3275.1   -0.389219596994329
        53               3275.2   -0.389929578908868
        54               3275.3   -0.390050159780549
        55               3275.4   -0.389774578918735
        56               3275.5   -0.389382029641622
        57               3275.6   -0.389018179435786
        58               3275.7   -0.388633534541201
        59               3275.8   -0.388100047102538
        60               3275.9   -0.387389597411958
        61                 3276   -0.386681305693539
        62               3276.1   -0.386314946779195
        63               3276.2   -0.386588742269688
        64               3276.3   -0.387529527048072
        65               3276.4   -0.388838148522235
        66               3276.5   -0.390078988748025
        67               3276.6   -0.390942189586349
        68               3276.7   -0.391353115315169
        69               3276.8   -0.391393175857735
        70               3276.9   -0.391176116475136
        71                 3277   -0.390806698112623
        72               3277.1   -0.390413340371303
        73               3277.2    -0.39015725495034
        74               3277.3   -0.390151315222101
        75               3277.4    -0.39034364348749
        76               3277.5   -0.390510211013468
        77               3277.6   -0.390418555319393
        78               3277.7   -0.390024740101298
        79               3277.8   -0.389501594244297
        80               3277.9   -0.389072564035681
        81                 3278   -0.388819171290083
        82               3278.1   -0.388623219791225
        83               3278.2   -0.388271003434947
        84               3278.3   -0.387642561246295
        85               3278.4    -0.38684976598162
        86               3278.5   -0.386189004860205
        87               3278.6   -0.385919522024877
        88               3278.7   -0.386074622902091
        89               3278.8   -0.386497752105239
        90               3278.9   -0.387044181615763
        91                 3279   -0.387716533958488
        92               3279.1   -0.388611788621585
        93               3279.2   -0.389769823807127
        94               3279.3   -0.391075189239312
        95               3279.4   -0.392270232249853
        96               3279.5   -0.393040512813434
        97               3279.6   -0.393116390115635
        98               3279.7   -0.392369208629843
        99               3279.8   -0.390897579211274
       100               3279.9   -0.389066106483499
       101                 3280   -0.387425394185164
       102               3280.1   -0.386492641080693
       103               3280.2   -0.386499322602722
       104               3280.3    -0.38728252778876
       105               3280.4   -0.388401259424029
       106               3280.5   -0.389375197582913
       107               3280.6   -0.389863256401316
       108               3280.7   -0.389702469270398
       109               3280.8   -0.388884912217467
       110               3280.9     -0.3875730442856
       111                 3281   -0.386125020897049
       112               3281.1   -0.385013970086682
       113               3281.2    -0.38462700046451
       114               3281.3   -0.385091270744079
       115               3281.4   -0.386263301305916
       116               3281.5   -0.387850884136475
       117               3281.6   -0.389541747315128
       118               3281.7   -0.391072585515993
       119               3281.8    -0.39225041601922
       120               3281.9   -0.392947057466551
       121                 3282   -0.393088098894561
       122               3282.1    -0.39267648156436
       123               3282.2   -0.391852143326938
       124               3282.3   -0.390899051425945
       125               3282.4   -0.390118873465996
       126               3282.5   -0.389649011884041
       127               3282.6    -0.38941291260411
       128               3282.7   -0.389260261781754
       129               3282.8   -0.389121285741911
       130               3282.9   -0.388983990122302
       131                 3283    -0.38875159014888
       132               3283.1   -0.388221104151738
       133               3283.2   -0.387280680162895
       134               3283.3   -0.386126840845333
       135               3283.4   -0.385238128825421
       136               3283.5   -0.385090482594824
       137               3283.6   -0.385851726849054
       138               3283.7    -0.38727860244938
       139               3283.8   -0.388845275392684
       140               3283.9   -0.389991522846167
       141                 3284   -0.390357391583994
       142               3284.1   -0.389900299249891
       143               3284.2   -0.388851672109039
       144               3284.3   -0.387569545134995
       145               3284.4    -0.38640709394648
       146               3284.5   -0.385665944227246
       147               3284.6   -0.385588669799008
       148               3284.7   -0.386305020448643
       149               3284.8   -0.387733522451471
       150               3284.9   -0.389545872021124
       151                 3285    -0.39128013003906
       152               3285.1   -0.392547006085143
       153               3285.2   -0.393178319248154
       154               3285.3   -0.393226969348684
       155               3285.4   -0.392856755394573
       156               3285.5   -0.392221459764768
       157               3285.6   -0.391409112578941
       158               3285.7   -0.390466636435632
       159               3285.8   -0.389449178260007
       160               3285.9   -0.388415362444072
       161                 3286   -0.387369840388232
       162               3286.1    -0.38624556409033
       163               3286.2   -0.384971128606796
       164               3286.3   -0.383544722838308
       165               3286.4    -0.38203814889402
       166               3286.5    -0.38057506004719
       167               3286.6   -0.379354520675175
       168               3286.7   -0.378676831315137
       169               3286.8   -0.378863059010689
       170               3286.9   -0.380050681823352
       171                 3287   -0.381991783971045
       172               3287.1   -0.384042405364272
       173               3287.2   -0.385443722315923
       174               3287.3   -0.385761935257324
       175               3287.4   -0.385148968490506
       176               3287.5   -0.384181334919032
       177               3287.6   -0.383414677597154
       178               3287.7   -0.383050120446521
       179               3287.8   -0.382950643724746
       180               3287.9   -0.382889054352999
       181                 3288   -0.382758152060759
       182               3288.1   -0.382601644105163
       183               3288.2   -0.382510082618494
       184               3288.3   -0.382510687660678
       185               3288.4   -0.382556439749535
       186               3288.5    -0.38262009930539
       187               3288.6    -0.38278755129245
       188               3288.7   -0.383229050664655
       189               3288.8   -0.384042235524434
       190               3288.9   -0.385100621215013
       191                 3289   -0.386057953645735
