     index            Field [G]         Intensity []

         1                 3270   -0.376965530905235
         2               3270.1   -0.377425468407881
         3               3270.2   -0.378081434372823
         4               3270.3   -0.378954011990771
         5               3270.4   -0.380021258867859
         6               3270.5   -0.381197117338326
         7               3270.6   -0.382338083415638
         8               3270.7   -0.383287774523188
         9               3270.8   -0.383936532740861
        10               3270.9   -0.384257647667377
        11                 3271   -0.384298521162148
        12               3271.1    -0.38414079754612
        13               3271.2   -0.383869722351542
        14               3271.3   -0.383576718570243
        15               3271.4   -0.383363155102374
        16               3271.5   -0.383287398794701
        17               3271.6    -0.38326886421248
        18               3271.7   -0.383067084245115
        19               3271.8   -0.382425820360869
        20               3271.9    -0.38128956465741
        21                 3272    -0.37988165073267
        22               3272.1   -0.378557567215227
        23               3272.2   -0.377574309668997
        24               3272.3   -0.376976069726005
        25               3272.4   -0.376657235215567
        26               3272.5   -0.376515106401298
        27               3272.6   -0.376561426674668
        28               3272.7   -0.376903672708008
        29               3272.8   -0.377611071973424
        30               3272.9   -0.378595427031977
        31                 3273   -0.379635549368983
        32               3273.1   -0.380520937942154
        33               3273.2    -0.38115667055952
        34               3273.3   -0.381530188820327
        35               3273.4   -0.381620092404978
        36               3273.5   -0.381390743949362
        37               3273.6   -0.380877206446305
        38               3273.7   -0.380218897762553
        39               3273.8   -0.379563155998659
        40               3273.9   -0.378944606969007
        41                 3274   -0.378282700609672
        42               3274.1   -0.377483088085633
        43               3274.2   -0.376513819518519
        44               3274.3   -0.375401480043057
        45               3274.4   -0.374218061733503
        46               3274.5    -0.37311747465839
        47               3274.6   -0.372356977717757
        48               3274.7   -0.372195879508873
        49               3274.8   -0.372696511077246
        50               3274.9   -0.373609086987312
        51                 3275   -0.374481254283581
        52               3275.1   -0.374915030850193
        53               3275.2   -0.374759777981127
        54               3275.3    -0.37412693256519
        55               3275.4   -0.373283085688021
        56               3275.5   -0.372517612927557
        57               3275.6   -0.372019533716852
        58               3275.7   -0.371788006710595
        59               3275.8   -0.371644582630778
        60               3275.9   -0.371381337247887
        61                 3276   -0.370949024101709
        62               3276.1    -0.37052352957656
        63               3276.2   -0.370393466693107
        64               3276.3   -0.370769190174033
        65               3276.4   -0.371649847414379
        66               3276.5   -0.372808956567355
        67               3276.6   -0.373894091619273
        68               3276.7   -0.374605412596192
        69               3276.8   -0.374866594298258
        70               3276.9   -0.374866510864267
        71                 3277   -0.374922548624728
        72               3277.1   -0.375265991142847
        73               3277.2   -0.375920272886635
        74               3277.3   -0.376746583157958
        75               3277.4   -0.377573862962984
        76               3277.5   -0.378288011941712
        77               3277.6   -0.378850136423731
        78               3277.7   -0.379295051884132
        79               3277.8    -0.37972936152713
        80               3277.9   -0.380286582978604
        81                 3278   -0.381022534770602
        82               3278.1   -0.381820997826491
        83               3278.2   -0.382406378138345
        84               3278.3   -0.382480165213629
        85               3278.4   -0.381890890707254
        86               3278.5   -0.380717351582184
        87               3278.6   -0.379212260522637
        88               3278.7     -0.3776532336327
        89               3278.8   -0.376206807654953
        90               3278.9     -0.3748974897742
        91                 3279   -0.373695328406113
        92               3279.1   -0.372639415134735
        93               3279.2   -0.371883026794025
        94               3279.3   -0.371621077462214
        95               3279.4   -0.371968739716483
        96               3279.5    -0.37288539977106
        97               3279.6   -0.374175666280399
        98               3279.7   -0.375545544052485
        99               3279.8   -0.376686366157836
       100               3279.9   -0.377357577553802
       101                 3280   -0.377439336113105
       102               3280.1   -0.376959981576238
       103               3280.2   -0.376120657320827
       104               3280.3   -0.375278756002331
       105               3280.4   -0.374812377983706
       106               3280.5   -0.374898785705607
       107               3280.6   -0.375388067514805
       108               3280.7   -0.375904083980601
       109               3280.8   -0.376085031300787
       110               3280.9   -0.375764263953444
       111                 3281   -0.375003595848499
