     index            Field [G]         Intensity []

         1                 3270   -0.380233733628653
         2               3270.1   -0.379901682338757
         3               3270.2   -0.379513483424144
         4               3270.3   -0.379123999388069
         5               3270.4   -0.378774810445956
         6               3270.5   -0.378476039287251
         7               3270.6    -0.37822047531215
         8               3270.7   -0.378007785732869
         9               3270.8    -0.37782993343194
        10               3270.9   -0.377636692801855
        11                 3271   -0.377359220740704
        12               3271.1   -0.376997176868674
        13               3271.2   -0.376664549206135
        14               3271.3   -0.376516168565231
        15               3271.4    -0.37661641661379
        16               3271.5    -0.37687829565695
        17               3271.6    -0.37712265169279
        18               3271.7   -0.377194660905835
        19               3271.8   -0.377043120299788
        20               3271.9   -0.376721839884676
        21                 3272   -0.376345164232432
        22               3272.1   -0.376053459017164
        23               3272.2   -0.376000216080346
        24               3272.3   -0.376318920338168
        25               3272.4   -0.377046661042313
        26               3272.5   -0.378061098756522
        27               3272.6   -0.379112616298423
        28               3272.7   -0.379944454541251
        29               3272.8    -0.38039675378332
        30               3272.9   -0.380418457816222
        31                 3273    -0.38002325109649
        32               3273.1   -0.379270072814711
        33               3273.2   -0.378285748788185
        34               3273.3   -0.377278965713227
        35               3273.4   -0.376498328975999
        36               3273.5   -0.376139178270161
        37               3273.6   -0.376250138855873
        38               3273.7   -0.376701075696731
        39               3273.8   -0.377243098939716
        40               3273.9   -0.377637143768133
        41                 3274   -0.377785043038123
        42               3274.1   -0.377787256090899
        43               3274.2   -0.377878163662194
        44               3274.3   -0.378257612424614
        45               3274.4    -0.37892743988328
        46               3274.5   -0.379672129489511
        47               3274.6   -0.380217885839599
        48               3274.7   -0.380434833397598
        49               3274.8   -0.380399546373582
        50               3274.9    -0.38027895275032
        51                 3275   -0.380171459998001
        52               3275.1   -0.380055951302632
        53               3275.2   -0.379866023391181
        54               3275.3   -0.379592891498425
        55               3275.4    -0.37932609410988
        56               3275.5   -0.379213932823725
        57               3275.6   -0.379374689967978
        58               3275.7    -0.37979947533004
        59               3275.8   -0.380292916697042
        60               3275.9   -0.380505294119569
        61                 3276   -0.380087109071156
        62               3276.1   -0.378921516093529
        63               3276.2   -0.377291808258335
        64               3276.3   -0.375816398513743
        65               3276.4   -0.375121481654864
        66               3276.5   -0.375456415913727
        67               3276.6   -0.376555367102826
        68               3276.7   -0.377858390545441
        69               3276.8   -0.378890210100803
        70               3276.9   -0.379488754272155
        71                 3277   -0.379773483644705
        72               3277.1   -0.379983378902771
        73               3277.2    -0.38033750378019
        74               3277.3   -0.380948378079562
        75               3277.4   -0.381770663803845
        76               3277.5   -0.382615077814878
        77               3277.6    -0.38325674749725
        78               3277.7   -0.383584129566638
        79               3277.8   -0.383675987192576
