     index            Field [G]         Intensity []

         1                 3270   -0.384922838641021
         2               3270.1   -0.383979006693292
         3               3270.2   -0.383040031848063
         4               3270.3   -0.382109405430416
         5               3270.4   -0.381187535395982
         6               3270.5   -0.380296954671175
         7               3270.6   -0.379481491185183
         8               3270.7   -0.378759435078521
         9               3270.8   -0.378087417792958
        10               3270.9   -0.377403084120689
        11                 3271   -0.376714837870566
        12               3271.1   -0.376131359870244
        13               3271.2   -0.375778778823698
        14               3271.3   -0.375671804573469
        15               3271.4   -0.375656976749879
        16               3271.5   -0.375492572466504
        17               3271.6   -0.375022310072979
        18               3271.7   -0.374310391793503
        19               3271.8    -0.37360777887511
        20               3271.9   -0.373153188603347
        21                 3272   -0.372984555530113
        22               3272.1   -0.372953412576478
        23               3272.2   -0.372932383266494
        24               3272.3   -0.372988069705149
        25               3272.4   -0.373316439809202
        26               3272.5    -0.37399645265199
        27               3272.6    -0.37482502788429
        28               3272.7   -0.375419865832218
        29               3272.8   -0.375501311957413
        30               3272.9   -0.375088647656881
        31                 3273   -0.374446792370546
        32               3273.1   -0.373871057705888
        33               3273.2   -0.373526364466649
        34               3273.3   -0.373446410924209
        35               3273.4   -0.373607678666086
        36               3273.5   -0.373953420541179
        37               3273.6   -0.374368249228183
        38               3273.7   -0.374695410306777
        39               3273.8    -0.37482030111293
        40               3273.9   -0.374730602756772
        41                 3274    -0.37448201642409
        42               3274.1   -0.374127861960973
        43               3274.2   -0.373721515160672
        44               3274.3   -0.373387555289578
        45               3274.4   -0.373332807669755
        46               3274.5   -0.373721852929371
        47               3274.6   -0.374527373503692
        48               3274.7   -0.375537641573311
        49               3274.8   -0.376538537356086
        50               3274.9   -0.377476328967621
        51                 3275   -0.378426521809907
        52               3275.1   -0.379429820662591
        53               3275.2   -0.380403545138761
        54               3275.3   -0.381212899242269
        55               3275.4    -0.38178194339565
        56               3275.5   -0.382115506142403
        57               3275.6   -0.382257006479518
        58               3275.7   -0.382270524461149
        59               3275.8    -0.38224294554451
        60               3275.9    -0.38224444719919
        61                 3276   -0.382265735828495
        62               3276.1   -0.382220226372655
        63               3276.2   -0.382031827630525
        64               3276.3   -0.381729852609321
        65               3276.4   -0.381478733469252
        66               3276.5   -0.381530005993926
        67               3276.6   -0.382102782303319
        68               3276.7   -0.383224090381546
        69               3276.8   -0.384638262898328
        70               3276.9   -0.385907884463185
        71                 3277   -0.386677894559821
        72               3277.1   -0.386895871457326
        73               3277.2   -0.386797751217479
        74               3277.3    -0.38668143389733
        75               3277.4   -0.386673010772741
        76               3277.5   -0.386666419784334
        77               3277.6   -0.386448545766923
        78               3277.7   -0.385883588304214
        79               3277.8   -0.385009168273276
